kepid,koi_disposition,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
2992634,CANDIDATE,292.07803,38.153831,0,0,0,0,47.82278681,NA,NA,134.1402656,NA,NA,NA,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001955,CANDIDATE,294.0845,38.156319,0,0,0,0,348.96347,0.03016,-0.03016,184.8658,0.0543,-0.0543,0.6924,0.2629,-0.4629,13.84,2.6,-2.6,585.2,97.3,-97.3,2.04,0.18,-0.11,198,NA,NA,0.36,0.13,-0.07,4823,154,-124,4.564,0.027,-0.063,0.792,0.073,-0.042
3003673,FALSE POSITIVE,294.42056,38.190529,1,0,0,0,57.1143966,0.0009836,-0.0009836,166.4525,0.0154,-0.0154,0.1765,0.2674,-0.1764,2.182,0.387,-0.387,268.8,56,-56,1.82,0.93,-0.22,523,NA,NA,17.64,26.9,-5.71,6136,153,-206,4.378,0.082,-0.307,1.106,0.567,-0.132
3101178,CANDIDATE,287.04688,38.231617,0,0,0,0,59.4037839,0.0008493,-0.0008493,159.80356,0.00994,-0.00994,0.94,0.016,-0.661,10.041,0.276,-0.276,123.5,8.2,-8.2,1.65,0.44,-0.37,570,NA,NA,24.93,19.91,-11.98,6373,179,-247,4.256,0.204,-0.167,1.209,0.325,-0.266
3117115,FALSE POSITIVE,291.58234,38.29966,1,0,0,0,485.91276,0.01563,-0.01563,213.3906,0.0103,-0.0103,0.598,0.0041,-0.5306,2.42,1.2,-1.2,1368,379,-379,3.61,1.32,-0.32,230,NA,NA,0.66,0.72,-0.18,5957,164,-195,4.506,0.04,-0.271,0.937,0.341,-0.084
3120397,FALSE POSITIVE,292.30801,38.2906,0,0,1,1,20.5311708,0.0004546,-0.0004546,136.4829,0.018,-0.018,0.547,0.387,-0.332,5.67,0.536,-0.536,284.6,34.9,-34.9,1.39,0.27,-0.11,568,NA,NA,24.52,15.33,-6.05,5398,177,-160,4.58,0.032,-0.128,0.805,0.157,-0.063
3239171,CANDIDATE,292.47034,38.394341,0,0,0,0,43.581043,0.001988,-0.001988,148.4352,0.0372,-0.0372,0.277,0.183,-0.277,6.883,0.759,-0.759,348.7,45.7,-45.7,1.94,0.59,-0.21,558,NA,NA,22.89,20.83,-7.28,6225,194,-237,4.45,0.065,-0.195,1.031,0.309,-0.111
4761427,CANDIDATE,295.62579,39.824638,0,0,0,0,327.063,0.01666,-0.01666,438.3693,0.0299,-0.0299,0.3983,0.0519,-0.3983,8.06,1.8,-1.8,1006,181,-181,2.82,1.06,-0.22,248,NA,NA,0.89,1,-0.22,5750,166,-177,4.538,0.028,-0.273,0.882,0.331,-0.068
4769799,FALSE POSITIVE,297.31741,39.877972,0,1,0,0,21.92866538,1.096e-05,-1.096e-05,135.528574,0.000418,-0.000418,0.931,0.017,-0.012,9.7526,0.0243,-0.0243,22178,52.2,-52.2,65.97,14.47,-9.65,983,NA,NA,220.41,125.19,-67.34,5001,67,-60,3.469,0.125,-0.137,3.028,0.664,-0.443
4770798,CANDIDATE,297.50919,39.88802,0,0,0,0,651.07431,0.01577,-0.01577,216.3882,0.0224,-0.0224,0.0343,0.4067,-0.0341,5.603,0.625,-0.625,153.7,26.2,-26.2,1.55,0.59,-0.35,234,NA,NA,0.71,0.81,-0.32,5696,156,-148,4.218,0.207,-0.219,1.261,0.482,-0.28
4814168,FALSE POSITIVE,283.8624,39.9454,1,0,0,0,545.54618,0.01399,-0.01399,406.0538,0.0236,-0.0236,0.4307,0.0801,-0.3938,6.944,0.632,-0.632,177.7,20.5,-20.5,2.01,1.02,-0.51,296,NA,NA,1.82,2.72,-0.92,6432,149,-192,4.145,0.215,-0.267,1.476,0.749,-0.374
